,Year,Ceremony,Award ID,Award Type,Award Name,Work,Nominee,Winner
0,1958,1,587,Work,Best Recording For Children,Childrens' Marching Song (Album),Cyril Stapleton,False
1,1958,1,587,Work,Best Recording For Children,"Mommy, Give Me A Drinka Water (Album)",Danny Kaye,False
2,1958,1,587,Work,Best Recording For Children,The Witch Doctor,David Seville And The Chipmunks,False
3,1958,1,587,Work,Best Recording For Children,Tubby The Tuba,Jose Ferrer,False
4,1958,1,587,Work,Best Recording For Children,Fun In Shariland (Album),Shari Lewis And Lambchop,False
5,1958,1,587,Work,Best Recording For Children,The Chipmunk Song,"David Seville And The Chipmunks (Ross Bagdasarian, Sr.)",True
6,1958,1,590,Work,Best Classical Performance - Operatic Or Choral,Barber: Vanessa (Album),"Dimitri Mitropoulos, conductor",False
7,1958,1,590,Work,Best Classical Performance - Operatic Or Choral,Victoria: Requiem Mass (Album),"Dom David Nicholson, Robert Zimmerman, choir directors",False
8,1958,1,590,Work,Best Classical Performance - Operatic Or Choral,Donizetti: Lucia De Lammermoor (Album),"Erich Leinsdorf, conductor",False
9,1958,1,590,Work,Best Classical Performance - Operatic Or Choral,Puccini: Madam Butterfly (Album),"Erich Leinsdorf, conductor",False
10,1958,1,590,Work,Best Classical Performance - Operatic Or Choral,Barber Of Seville (Album),"Maria Callas, Tito Gobbi",False
11,1958,1,590,Work,Best Classical Performance - Operatic Or Choral,Virtuoso,"Roger Wagner, choir director",True
12,1958,1,594,Work,Best Classical Performance - Orchestra,Barber: Meditation And Dance Of Vengeance,(Boston Symphony Orchestra),False
13,1958,1,594,Work,Best Classical Performance - Orchestra,Beethoven: Symphony No. 6 In F Major (Album),(Columbia Symphony Orchestra),False
14,1958,1,594,Work,Best Classical Performance - Orchestra,Rimsky-Korsakoff: Scheherezade (Album),(London Symphony Orchestra),False
15,1958,1,594,Work,Best Classical Performance - Orchestra,Mahler: Symphony No. 2 In C Minor (Album),(New York Philharmonic),False
16,1958,1,594,Work,Best Classical Performance - Orchestra,Stravinsky: Le Sacre Du Printemps (Album),(New York Philharmonic),False
17,1958,1,594,Work,Best Classical Performance - Orchestra,Prokofiev: Symphony No. 5 In B-Flat Major (Album),(Philadelphia Orchestra),False
18,1958,1,594,Work,Best Classical Performance - Orchestra,Gaiete Parisienne,(Hollywood Bowl Orchestra),True
19,1958,1,597,Work,Best Classical Performance - Instrumentalist (With Concerto Scale Accompaniment),Segovia Golden Jubilee (Last Record In Set),"Andres Segovia, artist",False
20,1958,1,597,Work,Best Classical Performance - Instrumentalist (With Concerto Scale Accompaniment),Saint-Saens: Piano Concerto # 2 (Album),"Artur Rubinstein, artist",False
21,1958,1,597,Work,Best Classical Performance - Instrumentalist (With Concerto Scale Accompaniment),Brahms: Piano Concerto # 2 (Album),"Emil Gilels, artist",False
22,1958,1,597,Work,Best Classical Performance - Instrumentalist (With Concerto Scale Accompaniment),Bartók: Concerto For Violin,"Isaac Stern, artist",False
23,1958,1,597,Work,Best Classical Performance - Instrumentalist (With Concerto Scale Accompaniment),Rachmaninoff: Rhapsody On A Theme Of Paganini (Album),"Leonard Pennario, artist",False
24,1958,1,597,Work,Best Classical Performance - Instrumentalist (With Concerto Scale Accompaniment),"Tchaikovsky: Piano Concerto No. 1 In B Flat Minor, Op. 23","Van Cliburn, artist (Symphony Of The Air Orchestra)",True
